,Unnamed: 0,Station,id,Terminal,Latitude,Longitude,Docks,Ward
0,1,25 York St,303.0,7070.0,43.643667,-79.380414,11.0,10
1,2,51 Parliament St,17.0,7064.0,43.65205,-79.36219799999999,19.0,13
2,3,Augusta Ave / Dundas St W,412.0,7032.0,43.652175,-79.400913,15.0,10
3,4,Bathurst St / Queens Quay W,3996.0,7071.0,43.6354,-79.3984,23.0,10
4,5,Bay St / Albert St,327.0,7021.0,43.653264,-79.382458,23.0,13
5,6,Bay St / Bloor St W,265.0,7029.0,43.669429,-79.389326,15.0,11
6,7,Bay St / St Joseph St,290.0,7026.0,43.665527000000004,-79.387499,11.0,13
7,8,Bay St / Wellesley St W,129.0,7030.0,43.664088,-79.387095,35.0,11
8,9,Bloor St / Brunswick Ave,125.0,7061.0,43.665876000000004,-79.407224,25.0,11
9,10,Bond St / Queen St E,556.0,7045.0,43.653236,-79.376716,11.0,13
10,11,Bremner Blvd / Rees St,325.0,7018.0,43.641529,-79.386741,15.0,10
11,12,Bremner Blvd / Spadina Ave,322.0,7073.0,43.640903,-79.392895,15.0,10
12,13,Church St / Alexander St,304.0,7044.0,43.6636,-79.3806,15.0,13
13,14,Church St / Bloor St E,629.0,7034.0,43.671389000000005,-79.382919,15.0,11
14,15,College Park South,302.0,7077.0,43.659777000000005,-79.382767,19.0,11
15,16,Dundas St / Yonge St,32.0,7038.0,43.656094,-79.381484,15.0,13
16,17,Edward St / Yonge St,221.0,7041.0,43.656729,-79.382736,23.0,11
17,18,Fort York Blvd / Capreol Crt,44.0,7000.0,43.639832,-79.395954,31.0,10
18,19,Front St / Yonge St (Hockey Hall of Fame),1004.0,7048.0,43.646144,-79.377962,39.0,10
19,20,Front St W / Blue Jays Way,5.0,7059.0,43.643473,-79.390477,15.0,10
20,21,Gould St / Mutual St,555.0,7028.0,43.6582,-79.3768,31.0,13
21,22,Huron St / Harbord St,99.0,7058.0,43.6637,-79.400053,19.0,11
22,23,Jarvis St / Carlton St,31.0,7055.0,43.66207,-79.37617,15.0,13
23,24,Jarvis St / Isabella St,324.0,7031.0,43.669191999999995,-79.37912800000001,23.0,13
24,25,King St E / Jarvis St,795.0,7009.0,43.650325,-79.372287,11.0,13
25,26,King St W / Spadina Ave,14.0,7010.0,43.645323,-79.395003,19.0,10
26,27,Lower Jarvis St / The Esplanade,1089.0,7001.0,43.647991999999995,-79.37090699999999,15.0,10
27,28,Madison Ave / Bloor St W,2146.0,7003.0,43.667158,-79.402761,15.0,11
28,29,Metro Hall Plaza,848.0,7053.0,43.645859,-79.38783000000001,15.0,10
29,30,Navy Wharf Ct / Bremner Blvd,83.0,7054.0,43.640722,-79.391051,11.0,10
30,31,Niagara St / Richmond St W,420.0,7046.0,43.645340000000004,-79.40959699999999,15.0,10
31,32,Parliament St / Gerrard St,22.0,7056.0,43.661149,-79.366648,26.0,13
32,33,Phoebe St / Spadina Ave,53.0,7020.0,43.650033,-79.396555,32.0,10
33,34,Queen St W / Shaw St,522.0,7072.0,43.644524,-79.416519,15.0,10
34,35,Queen St W / Spadina Ave,126.0,7069.0,43.649147,-79.395504,11.0,10
35,36,Queens Park / Bloor St W,7.0,7063.0,43.668327000000005,-79.39355,18.0,11
36,37,Queens Quay W / Dan Leckie Way,60.0,7075.0,43.636533,-79.395854,26.0,10
37,38,Scott St / The Esplanade,1446.0,7013.0,43.64656,-79.375274,19.0,13
38,39,Sherbourne St / Wellesley St,786.0,7042.0,43.6673,-79.374,33.0,13
39,40,Simcoe St / Dundas St W,346.0,7039.0,43.653743,-79.38882,27.0,10
40,41,Simcoe St / Queen St W,827.0,7022.0,43.650858,-79.387582,19.0,10
41,42,Simcoe St / Wellington St W,8.0,7057.0,43.645533,-79.3854,23.0,10
42,43,Spadina Ave / Sussex Ave,135.0,7074.0,43.664137,-79.402496,27.0,11
43,44,St George St / Bloor St W,649.0,7002.0,43.667333,-79.399429,15.0,11
44,45,Temperance St / Yonge St,542.0,7019.0,43.650855,-79.379492,15.0,13
45,46,Union Station,4.0,7033.0,43.645565999999995,-79.37943800000001,19.0,10
46,47,University Ave / College St,259.0,7062.0,43.659226000000004,-79.390213,11.0,11
47,48,University Ave / Elm St,92.0,7004.0,43.656518,-79.389099,11.0,11
48,49,University Ave / Gerrard St W,258.0,7047.0,43.657763,-79.389165,11.0,11
49,50,University Ave / King St W,357.0,7005.0,43.648092999999996,-79.384749,19.0,10
50,51,Wellington St W / Bay St,368.0,7052.0,43.647331,-79.379673,27.0,13
51,52,Widmer St / Adelaide St,102.0,7017.0,43.647145,-79.391479,19.0,10
52,53,Willcocks St / St George St,248.0,7066.0,43.662237,-79.397716,16.0,11
53,54,York St / Queens Quay W,54.0,7076.0,43.640132,-79.380464,19.0,10
54,55,Dundas St E / Regent Park Blvd,,,43.660355700000004,-79.36180379999999,,13
55,56,Riverdale Park North (Broadview Ave),,,43.6707898,-79.35612540000001,,14
56,57,Danforth Ave / Lamb Ave,,,43.6821189,-79.32934809999999,,14
57,58,Dundas St E / Broadview Ave,,,43.6624391,-79.35134559999999,,14
58,59,Queen St W / Portland St,,,43.647714,-79.40141949999999,,10
59,60,Central Tech  (Harbord St),,,43.6619996,-79.40888129999999,,11
60,61,Central Tech  (Harbord St),,,43.6639967,-79.40875559999999,,11
61,62,Wellesley St / Queen's Park Cres,,,43.6635981,-79.3906219,,11
62,63,Sherbourne St / Carlton St (Allan Gardens),,,43.661758500000005,-79.37468179999999,,13
63,64,College St W / Major St,,,43.6549406,-79.41683979999999,,11
64,65,Bathurst Subway Station,,,43.6660011,-79.4112152,,11
65,66,424 Wellington St W,,,43.6438342,-79.3966495,,10
66,67,Ossington Ave / Bloor St W,,,43.6619827,-79.42562420000002,,11
67,68,Victoria St / Gould St (Ryerson University),,,43.657658500000004,-79.3788017,,13
68,69,Front St / Bay St (North Side),,,43.6461463,-79.3793173,,10
69,70,King St E / River St,,,43.656867999999996,-79.3561681,,13
70,71,College St W / Huron St,,,43.651567799999995,-79.4101974,,11
71,72,Bay St / College St (East Side),,,43.660909000000004,-79.39016600000001,,11
72,73,HTO Park (Queen's Quay W),,,43.6375849,-79.3884382,,10
73,74,Bathurst St / Fort York Blvd,,,43.6387685,-79.40061,,10
74,75,Beverly St / College St W,,,43.658713399999996,-79.3958657,,11
75,76,King St W / Tecumseth St,,,43.6433939,-79.4052578,,10
76,77,St George St / Hoskin Ave,,,43.66408,-79.398439,,11
77,78,Bay St / Queens Quay W (Ferry Terminal),,,43.641884000000005,-79.377214,,10
78,79,Beverly  St / Dundas St W,,,43.653814000000004,-79.3938243,,10
79,80,Macpherson Ave / Spadina Rd,,,43.6758521,-79.4074745,,12
80,81,Dundas St W / Crawford St,,,43.650064799999996,-79.4170615,,10
81,82,Elizabeth St / Edward St (Bus Terminal),,,43.6560524,-79.3846762,,11
82,83,Marlborough Ave / Yonge St,,,43.679879,-79.3907295,,11
83,84,Yonge St / Yorkville Ave,,,43.6719226,-79.3874532,,11
84,85,Kendal Ave / Bernard Ave,,,43.671699,-79.4083388,,11
85,86,Yarmouth Rd / Christie St,,,43.67002,-79.42092679999999,,11
86,87,Bloor St W / Christie St,,,43.6635591,-79.4184063,,11
87,88,Yonge St / Wood St,,,43.6620286,-79.383353,,13
88,89,161 Bleecker St (South of Wellesley),,,43.666598799999996,-79.37321740000002,,13
89,90,Queen St W / Ossington Ave,,,43.644171,-79.41885079999999,,10
90,91,Front St E / Cherry St,,,43.652632399999995,-79.3580917,,13
91,92,Cherry St / Mill St,,,43.6513499,-79.3573594,,13
92,93,Yonge St / Aylmer Ave,,,43.67558820000001,-79.3889658,,11
93,94,Queens Quay / Yonge St,,,43.6419596,-79.3746697,,10
94,95,Queens Quay W / Lower Simcoe St,,,43.6395925,-79.3827816,,10
95,96,Mill St / Tannery Rd,,,43.652153999999996,-79.3543446,,13
96,97,Wellington St W / Portland St,,,43.64319129999999,-79.39955490000001,,10
97,98,Hanna Ave / Liberty St,,,43.6385083,-79.4195451,,10
98,99,East Liberty St / Pirandello St,,,43.6386723,-79.4139607,,10
99,100,Augusta Ave / Denison Sq,,,43.6538727,-79.4017521,,11
100,101,College St W / Crawford St,,,43.65323720000001,-79.4182957,,11
101,102,Dockside Dr / Queens Quay E (Sugar Beach),,,43.6443346,-79.36781020000001,,10
102,103,Bathurst St / Dundas St W,,,43.6522958,-79.4060126,,10
103,104,Church St  / Wood St,,,43.6628044,-79.37973120000001,,13
104,105,Dundonald St / Church St,,,43.666700299999995,-79.3813459,,13
105,106,Wellesley St E / Yonge St Green P,,,43.664929,-79.3845625,,13
106,107,Riverdale Park South (Broadview Ave),,,43.6707898,-79.35612540000001,,14
107,108,McGill St / Church St,,,43.660678000000004,-79.3788522,,13
108,109,Ted Rogers Way / Bloor St E,,,43.6716033,-79.3805398,,11
109,110,Euclid Ave / Bloor St W,,,43.664332,-79.4148618,,11
110,111,Gerrard St E / River St,,,43.6636944,-79.35923129999999,,13
111,112,Queen St W / Dovercourt Rd,,,43.6434786,-79.4223717,,10
112,113,Hayter St / Laplante Ave,,,43.6590542,-79.38596629999999,,11
113,114,Harbord St / Clinton St,,,43.660267299999994,-79.4158311,,11
114,115,Dundas St E / Parliament St,,,43.6594276,-79.36599559999999,,13
115,116,Yonge St / Harbour St,,,43.6432796,-79.3754993,,10
116,117,Taddle Creek Park,,,43.6698599,-79.3984431,,11
117,118,Bathurst St / Lennox St,,,43.6638315,-79.41068349999999,,11
118,119,Essex St / Christie St,,,43.668355299999995,-79.4202547,,11
119,120,King St W / Bay St (West Side),,,43.6487191,-79.37962759999999,,13
120,121,Sterling Rd / Dundas St W,,,43.6506776,-79.44305820000001,,9
121,122,Princess St / Adelaide St,,,43.652398100000006,-79.3673842,,13
122,123,Queen St W / Close Ave,,,43.640731200000005,-79.43594759999999,,4
123,124,Salem Ave / Bloor St W,,,43.6606625,-79.4316443,,9
124,125,Ossington Ave / Harrison St,,,43.650949,-79.4213583,,11
125,126,College St W / Borden St,,,43.6549406,-79.41683979999999,,11
126,127,College St W / Markham St,,,43.6570289,-79.4092728,,11
127,128,Claremont St / Dundas St W,,,43.6511693,-79.41158440000001,,10
128,129,Fort York Blvd / Garrison Rd,,,43.6374334,-79.4061926,,10
129,130,King St W / Bay St (East Side),,,43.6487191,-79.37962759999999,,13
130,131,Lower Sherbourne St / The Esplanade,,,43.6490352,-79.3672694,,10
131,132,Trinity St /Front St E,,,43.652086700000005,-79.36033540000001,,13
132,133,Carlton St / Parliament St,,,43.6642764,-79.3679725,,13
133,134,Parliament St / Aberdeen Ave,,,43.6650445,-79.3682814,,13
134,135,Howard St / Sherbourne St,,,43.6712495,-79.37642120000001,,13
135,136,Nelson St / Duncan St,,,43.6488016,-79.38892299999999,,10
136,137,Strachan Ave / Princes' Blvd,,,43.634865399999995,-79.409077,,10
137,138,Ontario Place Blvd / Remembrance Dr,,,43.6312174,-79.41024959999999,,10
138,139,Queen St E / Berkely St,,,43.655317,-79.36575079999999,,13
139,140,Cherry St / Distillery Ln,,,43.650367700000004,-79.3569845,,10
140,141,Queen St E / Sackville St,,,43.65626470000001,-79.361453,,13
141,142,Sumach St / Carlton St (Riverdale Farm),,,43.6671213,-79.3611251,,13
142,143,Queen St W / York St (City Hall),,,43.653439899999995,-79.3840901,,10
143,144,Castle Frank Station,,,43.6736049,-79.3688194,,11
144,145,Ulster St / Bathurst St,,,43.659810799999995,-79.409058,,11
145,146,Rusholme Park Cres / College St W,,,43.6529203,-79.4296335,,9
146,147,Queen St W / Cowan Ave,,,43.6413253,-79.4331243,,4
147,148,Jarvis St / Dundas St E,,,43.6570469,-79.3745394,,13
148,149,Richmond St E / Jarvis St Green P,,,43.652438200000006,-79.37667540000001,,13
149,150,Bay St / Davenport Rd,,,43.6730853,-79.3906658,,11
150,151,Boston Ave / Queen St E,,,43.6613414,-79.33879859999999,,14
151,152,Queen St E / George St (Moss Park),,,43.65395770000001,-79.372065,,13
152,153,Palmerston Ave / Vermont Ave,,,43.67159960000001,-79.4163406,,11
153,154,Spadina Ave / Willcocks St,,,43.661271500000005,-79.4014858,,11
154,155,Queen St W / Gladstone Ave,,,43.6425333,-79.4271162,,9
155,156,Jimmie Simpson Park (Queen St E),,,43.6612075,-79.3447934,,14
156,157,Jimmie Simpson Park (Queen St E),,,43.6604409,-79.3453882,,14
157,158,Davenport Rd / Bathurst St,,,43.676696500000006,-79.4157557,,12
158,159,Seaton St / Dundas St E,,,43.658645799999995,-79.3694957,,13
159,160,Liberty St / Fraser Ave Green P,,,43.641697799999996,-79.4236547,,9
160,161,Christie St / Benson Ave (Wychwood Barns),,,43.67998239999999,-79.4240684,,12
161,162,King St W / Douro St,,,43.641106,-79.4166062,,10
162,163,Wellington St W / Stafford St,,,43.641006299999994,-79.4102226,,10
163,164,Danforth Ave / Ellerbeck St,,,43.676679,-79.356409,,14
164,165,Landsdowne Subway Green P,,,43.6647888,-79.4635996,,4
165,166,Summerhill Station,,,43.6822899,-79.39077440000001,,11
166,167,Davenport Rd / Bedford Rd,,,43.674364399999995,-79.3998092,,11
167,168,Cariboo St / Rail Path,,,43.6666942,-79.4583445,,9
168,169,Bloor GO / UP Station/ Rail Path,,,43.6580286,-79.45089449999999,,9
169,170,Niagara St / Tecumseth St,,,43.641387,-79.4044383,,10
170,171,King St W / Stafford St,,,43.6422906,-79.4107175,,10
171,172,Chester Station,,,43.6782356,-79.35245450000001,,14
172,173,Exhibition GO (Atlantic Ave),,,43.63587929999999,-79.4187734,,10
173,174,80 Clinton St (North of College),,,43.6562963,-79.41466340000001,,11
174,175,Dufferin St / Sylvan Av (Dufferin Grove Park),,,43.656555299999994,-79.4327637,,9
175,176,Davenport Rd / Christie St,,,43.6755784,-79.4230446,,12
176,177,Mary McCormick Rec Centre (Sheridan Ave),,,43.64743729999999,-79.4328546,,9
177,178,Roxton Rd / Harbord St,,,43.6587949,-79.4230682,,11
178,179,King St W / Fraser Ave,,,43.6394623,-79.4248104,,10
179,180,Glen Edyth Dr / Davenport Rd,,,43.6781484,-79.4048738,,12
180,181,Danforth Ave / Coxwell Ave,,,43.6833563,-79.3235888,,19
181,182,King St W / Joe Shuster Way,,,43.6397139,-79.4235468,,10
182,183,Bridgeman Ave / Bathurst St,,,43.674330700000006,-79.4148223,,12
183,184,Bridgeman Ave / Kendal Ave,,,43.6754816,-79.40982120000001,,12
184,185,Bloor St W / Dundas St W,,,43.6563348,-79.4524245,,4
185,186,Danforth Ave / Gough Ave,,,43.6786924,-79.3461056,,14
186,187,Parliament St / Bloor St E,,,43.672033299999995,-79.370728,,13
187,188,Lansdowne Ave / Whytock Ave,,,43.6538351,-79.4411144,,9
188,189,Ossington Ave / College St W,,,43.6543876,-79.4226798,,11
189,190,Ossington Ave / College St W,,,43.6543876,-79.4226798,,11
190,191,Davenport Rd / Avenue Rd,,,43.6746978,-79.3965732,,11
191,192,Pape Subway Green P,,,43.6795523,-79.3453774,,14
192,193,Kendal Ave / Spadina Rd,,,43.6703049,-79.4052872,,11
193,194,Dufferin St / Bloor St,,,43.6598576,-79.4353285,,9
194,195,Stephenson Ave / Main St,,,43.6877284,-79.301609,,19
195,196,Woodbine Subway Green P (Cedarvale Ave),,,43.686833,-79.31104909999999,,19
196,197,Donlands Station,,,43.680891700000004,-79.3377455,,14
197,198,Margueretta St / College St W,,,43.651565999999995,-79.437566,,9
198,199,Danforth Ave / Westlake Ave,,,43.6874331,-79.3052146,,19
199,200,Dundas St W / Edna Ave,,,43.657262700000004,-79.45269090000001,,4
200,201,Danforth Ave / Barrington Ave,,,43.6884404,-79.30056490000001,,19
201,202,Mortimer Ave / Coxwell Ave,,,43.6905839,-79.326557,,19
202,203,Danforth Ave / Aldridge Ave,,,43.6847323,-79.3171844,,19
